Dzień,dzienny przychód,dzienny koszt
1,180.0,76.0
2,178.2,75.24
3,178.2,75.24
4,176.4,74.48
5,176.4,74.48
6,174.6,73.72
7,0,73.72
8,172.8,72.96
9,172.8,72.96
10,171.0,72.2
11,171.0,72.2
12,169.2,71.44
13,169.2,71.44
14,0,70.68
15,167.4,70.68
16,165.6,69.92
17,165.6,69.92
18,163.8,69.16
19,163.8,69.16
20,162.0,68.4
21,0,68.4
22,160.2,67.64
23,160.2,67.64
24,158.4,66.88
25,158.4,66.88
26,156.6,66.12
27,156.6,66.12
28,0,65.36
29,154.8,65.36
30,183.6,689.52
31,183.6,77.52
32,181.8,76.76
33,181.8,76.76
34,180.0,76.0
35,0,76.0
36,178.2,75.24
37,178.2,75.24
38,176.4,74.48
39,176.4,74.48
40,174.6,73.72
41,174.6,73.72
42,0,72.96
43,172.8,72.96
44,171.0,72.2
45,171.0,72.2
46,169.2,71.44
47,169.2,71.44
48,167.4,70.68
49,0,70.68
50,165.6,69.92
51,165.6,69.92
52,163.8,69.16
53,163.8,69.16
54,162.0,68.4
55,162.0,68.4
56,0,67.64
57,160.2,67.64
58,158.4,66.88
59,158.4,66.88
60,187.2,691.04
61,187.2,79.04
62,185.4,78.28
63,0,78.28
64,183.6,77.52
65,183.6,77.52
66,181.8,76.76
67,181.8,76.76
68,180.0,76.0
69,180.0,76.0
70,0,75.24
71,178.2,75.24
72,176.4,74.48
73,176.4,74.48
74,174.6,73.72
75,174.6,73.72
76,172.8,72.96
77,0,72.96
78,171.0,72.2
79,171.0,72.2
80,169.2,71.44
81,169.2,71.44
82,167.4,70.68
83,167.4,70.68
84,0,69.92
85,165.6,69.92
86,163.8,69.16
87,163.8,69.16
88,162.0,68.4
89,162.0,68.4
90,191.7,710.94
91,0,80.94
92,189.9,80.18
93,189.9,80.18
94,188.1,79.42
95,188.1,79.42
96,186.3,78.66
97,186.3,78.66
98,0,77.9
99,184.5,77.9
100,182.7,77.14
101,182.7,77.14
102,180.9,76.38
103,180.9,76.38
104,179.1,75.62
105,0,75.62
106,177.3,74.86
107,177.3,74.86
108,175.5,74.1
109,175.5,74.1
110,173.7,73.34
111,173.7,73.34
112,0,72.58
113,171.9,72.58
114,170.1,71.82
115,170.1,71.82
116,168.3,71.06
117,168.3,71.06
118,166.5,70.3
119,0,70.3
120,197.1,731.22
121,197.1,83.22
122,195.3,82.46
123,195.3,82.46
124,193.5,81.7
125,193.5,81.7
126,0,80.94
127,191.7,80.94
128,189.9,80.18
129,189.9,80.18
130,188.1,79.42
131,188.1,79.42
132,186.3,78.66
133,0,78.66
134,184.5,77.9
135,184.5,77.9
136,182.7,77.14
137,182.7,77.14
138,180.9,76.38
139,180.9,76.38
140,0,75.62
141,179.1,75.62
142,177.3,74.86
143,177.3,74.86
144,175.5,74.1
145,175.5,74.1
146,173.7,73.34
147,0,73.34
148,171.9,72.58
149,171.9,72.58
150,203.4,751.88
151,203.4,85.88
152,201.6,85.12
153,201.6,85.12
154,0,84.36
155,199.8,84.36
156,198.0,83.6
157,198.0,83.6
158,196.2,82.84
159,196.2,82.84
160,194.4,82.08
161,0,82.08
162,192.6,81.32
163,192.6,81.32
164,190.8,80.56
165,190.8,80.56
166,189.0,79.8
167,189.0,79.8
168,0,79.04
169,187.2,79.04
170,185.4,78.28
171,185.4,78.28
172,183.6,77.52
173,183.6,77.52
174,181.8,76.76
175,0,76.76
176,180.0,76.0
177,180.0,76.0
178,178.2,75.24
179,178.2,75.24
180,211.5,791.3
