Wiek,Rok 2013,Rok 2050
0,360195,256584
1,388703,261540
2,396675,266031
3,414644,269967
4,433879,273296
5,431875,275994
6,404041,278002
7,383617,279364
8,369354,280126
9,357584,280401
10,351292,280317
11,354742,280047
12,367200,279725
13,377259,279512
14,380366,279571
15,391481,279985
16,407957,280796
17,424498,282104
18,436369,283974
19,464004,286452
20,483068,289552
21,501682,293288
22,531952,297654
23,544488,302672
24,549252,308273
25,566374,314368
26,577107,320738
27,602508,327120
28,637626,333116
29,657703,338474
30,677329,342911
31,655933,346126
32,627765,348236
33,639282,348907
34,634889,351345
35,616707,355839
36,611542,361611
37,613397,361158
38,592060,387378
39,570567,393878
40,547955,410163
41,527557,427764
42,506625,425025
43,491196,397623
44,472915,377404
45,464649,363152
46,460146,351317
47,462596,344723
48,467965,347289
49,478212,358293
50,487937,366911
51,491873,368837
52,509654,378136
53,537866,392239
54,571958,406319
55,589942,416013
56,597556,439943
57,589647,455779
58,592813,471018
59,566872,496390
60,559316,505296
61,546174,506843
62,532556,519413
63,504198,525734
64,477907,545014
65,458699,572343
66,422475,585688
67,378863,598172
68,268089,574383
69,261532,544762
70,249750,548852
71,240525,538582
72,252004,516395
73,257698,504310
74,252477,497219
75,245854,470734
76,240104,443557
77,234183,415448
78,221326,388490
79,205887,361055
80,191494,336786
81,186668,310630
82,175055,290253
83,164587,271671
84,141574,256346
85,123619,241527
86,102173,227302
87,88253,212020
88,78250,193485
89,60353,179934
90,50166,168718
91,38493,157376
92,26141,140759
93,19042,121999
94,12774,101250
95,6599,84232
96,4820,65447
97,3690,51296
98,2705,38792
99,2444,28585
100,4242,59095
